,Component 1,Component 2
224,-7.17597,-8.7053175
225,-7.4418883,11.329327
226,-0.48047078,-1.8115786
227,4.4454594,2.9598863
228,8.519704,1.1589607
229,-0.24251099,-3.8265102
230,-7.6229815,-10.8878145
231,-4.4423738,6.369799
232,-7.158063,-7.4614058
233,4.1801777,4.8803406
234,-8.436547,10.120177
235,7.230122,-0.7168203
236,-0.37266612,-3.6818857
237,-9.355091,13.266178
238,-5.518065,-8.07251
239,-4.391693,-7.371237
240,7.4999514,2.4130821
241,-4.8134656,-6.254578
242,-7.214414,-9.019308
243,-7.2487326,7.3508034
244,-5.1792617,4.7260056
245,-6.355435,6.3395505
246,9.540018,-0.24575685
247,5.106684,-0.22912526
248,-5.4440346,-7.4677362
249,-9.630355,10.240501
250,-8.012782,-10.435386
251,4.0952454,1.8692199
252,1.0695943,-3.3143892
253,1.7054313,-0.62729424
254,-5.102817,-6.772437
255,-8.813535,12.331051
256,6.973971,-0.67192453
257,6.574111,-0.056701913
258,-6.2817473,-6.8995385
259,-4.6671753,-6.9567266
260,2.3050468,2.100457
261,-6.3001947,-5.595531
262,8.074055,-0.11408623
263,0.44109583,-0.8502161
264,9.386664,2.1965935
265,-2.5251932,4.252137
266,-7.366233,7.895036
267,7.628567,0.81351316
268,-5.4724903,-7.4139504
269,-3.1703444,2.233
270,3.8075528,2.9075158
271,4.033528,5.490162
272,-5.6367226,7.4163027
273,-5.1943426,-7.0870833
274,3.5809221,3.7029417
275,-8.482438,-10.903056
276,-8.969916,8.551554
277,0.5851167,-3.6717563
278,-2.794883,-4.3125
279,10.933512,-0.07726915
280,-5.718592,7.898945
281,-0.47922364,6.5939436
282,-0.67613894,-2.8422585
283,8.838263,-1.3001242
284,7.740167,-0.7889178
285,-6.8674755,9.052792
286,-6.659384,-7.2611628
287,-2.902825,0.0076680384
288,11.677038,-0.220374
289,-2.9655635,-0.87365097
290,1.142376,-2.2719235
291,8.890392,-0.24838364
292,4.6005597,3.365418
293,0.24500696,-2.387439
294,0.09022978,-3.6079557
295,2.0855381,1.3730581
296,-5.250471,4.6259217
297,8.6224575,0.022578998
298,-0.7262753,-5.288655
299,8.687284,0.06913001
300,-8.342014,8.736332
301,-9.368848,9.540182
302,-2.0791779,-4.7389817
303,-5.652937,6.9806423
304,-0.1087413,-2.2803357
305,4.3503723,5.190381
306,-7.720936,6.3480616
307,5.773253,1.3847328
308,8.811174,2.238381
309,-6.13735,0.055779032
310,-6.6043253,-7.5147734
311,3.3994863,1.7611471
312,-5.13919,3.1094143
313,-7.9102216,8.605281
314,4.3607664,4.2247386
315,10.988013,-1.324493
316,-10.06338,10.997375
317,-0.7402344,-2.5189853
318,12.177332,-0.44707325
319,10.909959,-0.4888258
320,8.160757,-0.577462
321,-4.939856,-5.5053315
322,-5.9003625,-7.873861
323,3.5963848,1.6480808
324,1.4653672,-3.6003919
325,1.7903422,0.2647685
326,-5.158325,6.4187183
327,3.0029545,1.4434941
328,-7.116979,-8.794469
329,4.54737,3.5687714
330,0.18599142,-2.4544995
331,-5.9874105,-7.5784025
332,-1.7886882,-4.25298
333,4.798555,1.2921345
334,4.4931827,1.2952483
335,-7.6483994,9.632559
336,0.5147255,-3.9652762
337,10.305879,0.32193443
338,-1.8593317,-1.7951586
339,6.923233,0.39959127
340,7.205052,1.0500005
341,8.731465,-0.8298982
342,4.2995863,1.4618003
343,10.405193,0.8472958
344,2.025903,2.0674567
345,-1.6995136,-0.3280907
346,0.8684102,-3.3585842
347,2.1767654,1.5879297
348,-3.4302673,-6.317444
349,4.0218534,2.0270662
350,-5.7033114,-6.344959
351,0.277485,-2.7502508
352,-6.1120443,-7.1356864
353,-4.8330016,-6.8228865
354,-10.059903,11.583311
355,3.9647806,2.7052143
356,-6.0013456,7.761756
357,-5.8284616,-7.333296
358,1.877816,-2.2430046
359,0.10403658,-0.08975882
360,1.4084617,-3.4551272
361,0.25433978,-2.8637462
362,13.374385,-0.5801245
363,-1.4555546,-4.133776
364,-5.252203,-7.74956
365,0.43192232,-3.0738018
366,-1.1158444,-5.892842
367,3.2575932,4.5844436
368,-8.814155,12.0554085
369,-8.418455,8.538368
370,-3.887444,4.0849733
371,-6.7200084,-5.491641
372,-0.17935155,-3.1007705
373,-5.615544,-7.2664657
374,-6.6422534,7.133929
375,10.668888,-0.0013259281
376,11.250133,-0.22227244
377,3.0838933,2.5604844
378,-6.6943545,4.3084517
379,8.101801,-0.7778087
380,-7.0166845,-8.523845
381,-6.82428,-8.427817
382,2.6821964,0.5548737
383,3.5551012,3.5022643
384,4.52827,1.8846853
385,3.3528464,3.7305615
386,-5.8027034,8.809939
387,0.117040135,-2.7373233
388,-5.396273,-6.4594755
389,4.093421,3.2370026
390,5.4102,0.81921524
391,-3.1110604,-4.3480806
392,-8.282739,10.21371
393,2.5577118,2.5821214
394,-7.508531,9.396274
395,12.263484,-0.3059182
396,10.790867,-0.25776014
397,3.560523,4.8181243
398,-5.372722,-7.258784
399,-5.7938795,-6.8798623
400,-7.269885,7.095116
401,-7.972081,6.1376987
402,3.4454818,2.7259576
403,12.176849,-0.36164752
404,2.7436128,0.8263488
405,6.8504906,-0.058588997
406,0.6007351,-3.8438447
407,5.2822,3.3133037
408,-5.946825,-8.2827015
409,-4.2032413,4.450111
410,3.304356,2.4017694
411,-0.9161852,-3.320788
412,-7.6204567,-10.2429085
413,-0.44006714,-3.4248116
414,-0.806026,-2.727481
415,-2.1727672,-4.3697023
416,-7.1515527,-7.1086006
417,6.091797,1.5965867
418,3.2812164,7.4415836
419,3.9880743,3.1818943
420,3.421492,1.0971262
421,8.147571,0.72479194
422,-11.319397,16.436161
423,-5.91077,-5.404278
424,3.3982956,3.4275236
425,-4.2148805,-6.404347
426,4.3602552,3.2833993
427,-5.976386,-7.9148707
428,-0.07663037,-5.466738
429,8.526127,-0.278904
430,0.66919965,-3.6044192
431,6.1560574,-0.23091349
432,-7.742569,8.7380295
433,-3.561004,1.1113863
434,-6.700074,8.242422
435,11.44807,-1.0552902
436,0.7636527,-3.1306863
437,3.8381443,1.2624526
438,1.2547426,5.0257583
439,-1.7375501,9.403473
440,8.428099,-0.7158678
441,-6.6118674,9.38083
442,-8.444254,7.4972873
443,3.4467266,1.7416962
444,-4.8128867,6.0908136
445,0.18122736,-2.8378954
446,3.496414,3.0006983
447,0.42195442,-2.7178617
448,11.89805,-0.8709069
449,4.4160953,3.4766145
450,-4.100244,-2.2026675
451,0.29060555,-2.9789484
452,-4.9510183,6.4929533
453,4.278044,3.1698961
454,5.492628,3.8455229
455,0.4553027,-3.7421877
456,2.8326094,4.225127
457,0.13925867,-1.4527549
458,3.6566334,3.3514795
459,-3.176316,5.8098664
460,10.485398,0.74950886
461,4.2433248,0.90711176
462,4.298607,3.8653824
463,-0.49541566,-2.2964675
464,0.4201994,-2.886688
465,-6.291557,5.7734485
466,-8.473679,7.421507
467,6.2528467,-1.9406204
468,-5.387142,7.5664597
469,-5.699399,10.25376
470,-0.8208243,-2.9795387
471,-6.491184,-8.717161
472,-2.880311,-3.6168323
473,1.4194294,-2.3412828
474,5.880422,1.5612687
475,-6.0754623,8.592245
476,-0.3577388,-4.2487164
477,-4.409352,-6.7911224
478,-1.6496439,-3.095228
479,-6.4121075,-4.715752
480,9.92007,-0.41110775
481,7.2094874,2.0026832
482,-7.1915483,-8.990204
483,-5.6523676,-7.6099815
484,2.191137,-3.617728
485,11.088154,2.0037327
486,-11.068753,14.158662
487,-0.15168007,4.9543524
488,10.185815,0.33650285
489,-5.8525047,-5.171715
490,3.2957635,1.8715383
491,4.63156,0.3877172
492,0.7831583,-2.847448
493,-5.2144656,4.579613
494,-5.7215924,6.230091
495,1.3753835,-3.9720163
496,2.758006,3.2310476
497,11.345728,-1.189829
498,11.137847,-1.7351383
499,-7.6512985,8.189303
500,-8.224494,-8.930916
501,4.3732247,1.8564019
502,-6.8649373,-8.850537
503,-6.455874,-6.862836
504,11.541076,0.04568974
505,-9.183854,8.708517
506,2.6426718,3.121433
507,-8.545685,9.652935
508,-7.356107,-8.377247
509,5.146567,-1.3372229
510,4.5780177,-0.77146405
511,-8.849501,12.491491
512,-6.05447,6.9268136
513,-0.30740634,-3.7593853
514,-6.083459,-4.4943385
515,5.033772,0.017515127
516,-7.676389,-8.1496935
517,3.633525,2.208659
518,-6.2559404,-6.0377812
519,-6.8234344,2.3232894
520,-7.053767,5.132125
521,-5.895388,-6.253386
522,0.8541647,-2.0385585
523,4.1842685,4.7928486
524,-6.813027,-9.158414
525,7.788227,0.2355581
526,-4.324535,-6.330416
527,-7.261567,6.602189
528,-1.4758627,-3.5279174
529,2.725687,3.8347602
530,4.152476,4.6462684
531,-6.425853,-8.715036
532,-7.7047043,7.65375
533,-3.7417698,-5.9402804
534,11.01026,-0.7603468
535,-0.12548329,-2.1696224
536,0.38092202,-4.14073
537,1.721678,2.5762477
538,-6.842087,-6.379915
539,7.7656856,-0.3120028
540,-5.8052526,-7.6089225
541,-6.4523797,-9.386961
542,-6.827125,5.664747
543,-7.7683063,-9.473869
544,-3.2434134,4.2783904
545,7.9996486,-0.16834891
546,-0.1173863,-3.257636
547,10.0478115,-1.4191945
548,2.645365,-2.5176775
549,-7.4929156,3.9279907
550,-6.7865734,-7.546634
551,0.3101154,-0.13854426
552,-7.395683,-7.0307155
553,1.8841193,-3.042362
554,1.6988194,-0.97574437
555,2.2050753,4.4312577
556,-10.651822,14.420928
557,-6.600578,4.11892
558,-2.0451221,-1.6806625
559,-5.194071,-6.387486
560,11.957981,-0.42411494
561,3.422348,2.1622205
562,11.207461,-0.9505804
563,4.588763,4.7754526
564,-5.9915977,7.779593
565,-5.4199753,-6.4227333
566,8.5242605,-1.3926101
567,-9.134619,10.669038
568,-8.637342,11.168726
569,-4.9746857,1.5885555
570,-2.342143,-4.2442646
571,-10.857203,14.7390175
572,-6.650737,-7.6675506
573,-3.3768706,-5.549094
574,0.1087253,-3.6461394
575,6.5348372,1.88519
576,-2.2658124,-1.3703693
577,-5.159947,-7.046111
578,4.45873,2.7121372
579,0.56149566,-3.7607322
580,-9.349868,5.459114
581,2.3011572,-0.5826358
582,-5.3796253,-7.6183996
583,-5.250109,5.3732896
584,4.544529,4.9042563
585,-5.742767,-8.2858
586,-8.544586,7.5695424
587,9.575663,-0.055947486
588,-0.42189988,-1.3372316
589,3.0232737,1.8397758
590,-9.379318,10.947981
591,-6.9895887,7.8627267
592,8.19921,1.0427017
593,3.3660204,1.5296496
594,-7.3861523,2.6343405
595,2.8600888,5.950682
596,3.556452,3.6487606
597,0.446571,-3.9449508
598,-4.3738937,-5.754893
599,9.261368,-0.025161695
600,-6.023471,-6.2145967
601,3.0874536,3.1256237
602,6.349538,-3.0763836
603,-10.877151,13.9946165
604,-9.667242,10.477347
605,0.018112428,-3.0763319
606,12.238473,0.53290194
607,3.6353452,3.0529807
608,4.088133,6.703627
609,3.6191897,4.5245185
610,0.11718762,-4.085369
611,-4.212303,-6.1187487
612,-8.724388,12.521656
613,3.8872256,0.46778977
614,8.821141,0.6497829
615,-0.49108383,-1.6494493
616,7.9921403,-0.17602819
617,-4.450128,-7.4397693
618,4.0555925,3.2545936
619,-6.8765135,-6.7937193
620,-6.3314047,-6.9042916
621,4.04887,2.7375064
622,-6.2644696,-8.733556
623,9.111706,-0.12912185
624,-7.7059107,7.0373263
625,-0.73894644,-3.5754876
626,1.1273477,-2.446404
627,0.37276268,-2.165221
628,6.0888753,0.41453308
629,0.78978074,-4.292795
630,-6.789504,-7.5121965
631,8.6793,-1.2032461
632,2.9192104,1.4977125
633,-0.8186807,-3.233472
634,-4.3553834,-4.9488363
635,-10.4450245,10.965146
636,2.5370655,-1.8202538
637,1.4925914,-3.939164
638,1.4107563,1.0801556
